PERSONAJE,GLOSA
Don Pedro,"Refiere a Pedro de Mendoza y Luján (Cádiz, 1499 - Oc. Atlántico, 1537), noble español, con destacada actividad militar en las campañas del rey. Designado gobernador y primer adelantado del Río de la Plata por el rey. Llegando a esas costas en 1536, allí establació el puerto Nuestra Señora del Buen Ayre. Delegó gran parte de las tareas de exploración de la región en su teniente gobernador, Juan de Ayolas. Abandonó la conquista debido al hambre, a los ataques de los nativos y por no tener noticias de su teniente."
D. Pedro,"Pedro de Mendoza (1499-1537), fue un noble español nacido de Cádiz. Tuvo  una destacada actividad militar en las campañas militares de Carlos I  en Italia, y con la fortuna que logró en ellas, solicitó la conquista  del Río de la Plata. Por capitulación firmada con en el rey en 1534 se  lo designa gobernador y primer adelantando a la provincia del mismo  bombre. Su armanda, una de las más grandes en términos de hombres y  barcos que cruzaron el océano a América, llegó a las costas del Río de  la Plata en 1536. En la margen izquierda del río, al sur de la actual  ciudad de Buenos Aires, Mendoza ordenó el establecimiento de un puerto  llamado Nuestra Señora del Buen Ayre, pero sus intencionres eran  continuar las exploraciones río arriba, en busca de la Sierra de la  Plata. El asentamiento en Buenos Aires rápidamenta sufrió hambre y  ataques de las sociedades nativas. Al mismo tiempo, Pedro de Mendoza  delegó gran parte de las tareas de exploración de la región en su  teniente gobernador, Juan de Ayolas. Debido a las dificultades que  enfrentaba la población de Buenos Aires y de los dos asentamientos  establecidos Paraná arriba (Buena Esperanza y Corpus Christi) y la  ausencia de noticias del Juan de Ayolas (quien luego se sabría, habría  alcanzado tierras chiriguanas) Pedro de Mendoza decide abandonar su  conquista, delegando el mando general de la armada en Juan de Ayolas y  el gobierno de Buenos Aires en Ruiz Galán. Moriría cruzando el Atlántico  en 1537."
Oyolas,"Refiere a Juan de Ayolas era un explorador español que fuera vecino fundador de la primera Buenos Aires, acompañando al adelantado Pedro de Mendoza, y que nominalmente fuera nombrado como teniente de gobernador general de Asunción en 1537, para convertirse al poco tiempo y en forma igualmente nominal en gobernador de Nueva Andalucía del Río de la Plata pero nunca ejercería como tal por estar en plena exploración y muy probablemente jamás se haya enterado siquiera de los adjudicados cargos antes citados."
Francisco Ruiz,"Francisco Ruiz Galán, capitán de la armada de Pedro de Mendoza y uno de sus más cercanos colaboradores. Fue nombrado por el adelantado como gobernador del puerto de Buenos Aires. Galán fue así una importatante figura política de la región rioplatense, al punto de disputarle a Domingo de Irala la dirección de la provincia entre 1537 y 1539. Tras ello se pierden sus huellas documentales, por lo que se lo presume muerto antes de 1542."
Ana,"Según varias investigaciones, se referiría a Ana de Arrieta,que habría viajado con su padre Diego."
capitan Ruiz,"Francisco Ruiz Galán, capitán de la armada de Pedro de Mendoza y uno de sus más cercanos colaboradores. Fue nombrado por el adelantado como gobernador del puerto de Buenos Aires. Galán fue así una importatante figura política de la región rioplatense, al punto de disputarle a Domingo de Irala la dirección de la provincia entre 1537 y 1539. Tras ello se pierden sus huellas documentales, por lo que se lo presume muerto antes de 1542."
caribe,"La referencia a los caribes, realizada primero por Cristóbal Colón para  nombrar a los supuestos enemigos de los taínos de Guanahaní, fue  utilizada repetidamente en el curso del siglo XVI para caracterizar a  las sociedades americanas que practicaban canibalismo ritual."
Yanduazubì,Cacique guaraní de la zona de Asunción.
Yanduazubi-Rubicha,"Refiere al cacique guaraní de la zona de Asunción. Rubicha en la lengua Caria, o guaraní, quiere decir «principal capitán y cabeza»"
Lambaré,Cacique guaraní de la zona de Asunción.
Payaguaes,"Los payaguás formaban parte del grupo lingüístico mataco-guaycurú. Han  sido insistentemente descriptos por la literatura etnográfica clásica  como irredimibles ""corsarios"" del Paraguay, que atacaban por igual a  guaraníes y españoles río arriba, siendo actores cruciales de la  historia de la temprana explotación y conquista de la región platense.  Estudios más recientes criticaron esta evaluación etnocéntrica."
guaranì,"Refiere aLos guaraníes o avá, según su autodenominación étnica original  (que significa ""ser humano""), son un grupo de pueblos indígenas  suramericanos que se ubican geográficamente en Paraguay, noreste de  Argentina (en ciertas zonas de provincias de la Región del Litoral),​  sur y suroeste de Brasil (en los estados de Río Grande del Sur, Santa  Catarina, Paraná y Mato Grosso del Sur) y sureste de Bolivia (en los  departamentos de Tarija, Santa Cruz y Chuquisaca) y norte de Uruguay.El  muy difundido nombre guaraní lo escucharon los españoles que, al invadir  su territorio, habrían oído, entre los gritos de guerra de este pueblo,  la frase guará-ny, que significa ""combatir-los"". Por otra parte el  nombre dada significa en guaraní 'guerrero', ""ava"" que significa  ""hombre"" y se pronuncia en forma grave entre los chiriguanos (ava  guaraníes).Otra versión afirma que la denominación fue tomada de la  deformación de una palabra guaraní, guariní que significa precisamente  ""guerra"" o ""guerrear"". Al parecer los mismos indígenas se denominaron de  esa manera, indicando con ello que se consideraban guerreros."
Irala,"Domingo Martínez de Irala (Vergara de la Hermandad de Guipúzcoa, Corona  de Castilla, 1509 - Asunción del Paraguay, Virreinato del Perú, 3 de  octubre de 1556) fue un conquistador, explorador y colonizador español  que como lugarteniente de Juan de Ayolas quien lo nombrara interinamente  hasta que regresara como teniente de gobernador de La Candelaria en  1537, luego lo sería de hecho, y posteriormente elegido por el pueblo  según real cédula, como teniente de gobernador general de Asunción.Ocupó  tres veces el cargo de gobernador interino del Río de la Plata y del  Paraguay, en los períodos de 1539 a 1542, de 1544 hasta 1548 y por  último desde 1549. El emperador Carlos V lo nombraría definitivamente  como titular en el cargo gubernamental en el año 1555, que lo ostentaría  hasta su fallecimiento.En 1543 fundó en el Chaco Boreal el Puerto de  los Reyes, a orillas del río Paraguay y del pantano de los Jarayes,  sobre las costas de la laguna La Gaiba.Irala era un capitán que exploró junto a Juan de  Ayolas el Río Paraguay. Ayolas lo designó, cuando se internó en el Chaco  en 1537, capitán de los bergantines en el Puerto de la Candelaria. Su  papel en estas exploraciones y este (precario) nombramiento de Ayolas  serían las bases que lo elevarían a teniente de gobernador con el aval  del veedor Alonso Cabrera en 1539.|Domingo Martínez de Irala (Vergara de la Hermandad de Guipúzcoa, 1509 - Asunción del Paraguay, 1556) fue un conquistador, explorador y colonizador español  que ofició como lugarteniente de Juan de Ayolas, siendo posteriormente elegido por el pueblo  según real cédula, como teniente de gobernador general de Asunción. El emperador Carlos V lo nombraría definitivamente  como titular en el cargo gubernamental en el año 1555, que lo ostentaría  hasta su fallecimiento.En 1543 fundó en el Chaco Boreal el Puerto de  los Reyes, a orillas del río Paraguay y del pantano de los Jarayes,  sobre las costas de la laguna La Gaiba.Irala era un capitán que exploró junto a Juan de  Ayolas el Río Paraguay."
Irala,"Domingo Martínez de Irala (Vergara de la Hermandad de Guipúzcoa, 1509 - Asunción del Paraguay, 1556) fue un conquistador, explorador y colonizador español  que ofició como lugarteniente de Juan de Ayolas, siendo posteriormente elegido por el pueblo  según real cédula, como teniente de gobernador general de Asunción. El emperador Carlos V lo nombraría definitivamente  como titular en el cargo gubernamental en el año 1555, que lo ostentaría  hasta su fallecimiento.En 1543 fundó en el Chaco Boreal el Puerto de  los Reyes, a orillas del río Paraguay y del pantano de los Jarayes,  sobre las costas de la laguna La Gaiba.Irala era un capitán que exploró junto a Juan de  Ayolas el Río Paraguay."
Diego de Abreu,"Diego de Abreu (m. 1549). Expedicionario que entró al Río de la Plata  con Pedro de Mendoza. Durante los conflictos entre las facciones de  Cabeza de Vaca y Domingo de Irala tomó partida por la del gobernador, al  punto que en 1547, fue nombrado él mismo gobernador interino por los  vecinos leales al segundo adelantado aprovechando la partida de Domingo  de Irala de la ciudad de Asunción. Finalmente este se impondría y Abreu  fue ajusticiado en 1549."
Cabeza de Vaca,"Álvar Núñez Cabeza de Vaca (Jerez de la Frontera, 1488/1490 - Sevilla,  27 de mayo de 1559) fue un descubridor y conquistador español que  exploró la costa sur de Norteamérica. El rey Carlos I de España le otorgó el  título de Segundo Adelantado y lo nombró capitán general y gobernador  del Río de la Plata, Paranáguazu y sus anexos.​ Cabeza de Vaca llegó a la isla de Santa Catalina en 1541 y de  allí entró en tierra firme con el objetivo de alcanzar la ciudad de  Asunción del Paraguay. La misma se había convertido en el centro de la  conquista del Río de la Plata. Si bien los conquistadores viejos de la  expedición de Pedro de Mendoza aceptaron sus credenciales cuando entró  en la ciudad en 1542, las políticas que Cabeza de Vaca intentó instalar  en la región rápidamente entraron en conflicto con aquellas que  pretendían sostener sus fundadores y primeros conquistadores. La  situación se deterioró progresivamente hasta que, después de una  fracasada entrada al Gran Chaco, Cabeza de Vaca fue encarcelado y luego  expulsado de la provincia en 1545. Si bien Álvar Núñez no  logró recuperar la gobernación del Río de la Plata, tampoco debió  enfretar las penas que originalmente se le habían impuesto. Una clara señal de cierto beneplácito regio  respecto de sus acciones en Indias es la reedición, en 1555, de su  Relación (Zamora, 1542) acompañada de un nuevo libro titulado  Comentarios (valladolid, 1555). Este último constituye la primera obra  historiográfica de largo aliento sobre la conquista del Río de la Plata,  considerando en particular el período de su  gobernación."
Alvar Nuñez Cabeza de Vaca,"Álvar Núñez Cabeza de Vaca (Jerez de la Frontera, 1488/1490 - Sevilla, 27 de mayo de 1559) fue un descubridor y conquistador español que exploró la costa sur de Norteamérica. El rey Carlos I de España le otorgó el título de Segundo Adelantado y lo nombró capitán general y gobernador del Río de la Plata, Paranáguazu y sus anexos.​ Cabeza de Vaca llegó a la isla de Santa Catalina en 1541 y de allí entró en tierra firme con el objetivo de alcanzar la ciudad de Asunción del Paraguay. La misma se había convertido en el centro de la conquista del Río de la Plata. Si bien los conquistadores viejos de la expedición de Pedro de Mendoza aceptaron sus credenciales cuando entró en la ciudad en 1542, las políticas que Cabeza de Vaca intentó instalar en la región rápidamente entraron en conflicto con aquellas que pretendían sostener sus fundadores y primeros conquistadores. La situación se deterioró progresivamente hasta que, después de una fracasada entrada al Gran Chaco, Cabeza de Vaca fue encarcelado y luego expulsado de la provincia en 1545. Si bien Álvar Núñez no logró recuperar la gobernación del Río de la Plata, tampoco debió enfretar las penas que originalmente se le habían impuesto. Una clara señal de cierto beneplácito regio respecto de sus acciones en Indias es la reedición, en 1555, de su Relación (Zamora, 1542) acompañada de un nuevo libro titulado Comentarios (valladolid, 1555). Este último constituye la primera obra historiográfica de largo aliento sobre la conquista del Río de la Plata, considerando en particular el período de su gobernación."
Moxo,"""Los conquistadores españoles buscaron en America del Sur, uno de los menos conocidos pero más largamente y con mayor avidez perseguido fue el del gran Moxo o Gran Paitití, Mojo (o Moxo)"".* Decálogo de la geohistoria guayaramirense: una propuesta de identidad...Por Juan Carlos Crespo Avaroma."
Adelantado,Refiere a Álvar Núñez Cabeza de Vaca
Cabeza de Vaca,"Álvar Núñez Cabeza de Vaca (Jerez de la Frontera, 1488/1490 - Sevilla,  27 de mayo de 1559) fue un descubridor y conquistador español que  exploró la costa sur de Norteamérica desde la actual Florida pasando por  Alabama, Misisipi y Luisiana y se adentró en Texas, Nuevo México,  Arizona​ y en el norte de México hasta llegar al Golfo de California,  territorios que pasaron a anexionarse al Imperio Español dentro del  Virreinato de Nueva España. El rey Carlos I de España le otorgó el  título de Segundo Adelantado y lo nombró capitán general y gobernador  del Río de la Plata, Paranáguazu y sus anexos.​ Fue el primer europeo del cual tenemos pruebas documentales respecto de  sus exploraciones en la región de las cataratas del Iguazú. Están  documentadas numerosas referencias sobre entradas que antiguos náufragos  de los barcos de Juan Díaz de Solís (1470-1516) y Rodrigo de Acuña  habrían realizado en la zona, siendo la más famosa la de Alejo o Aleixo  García.Cabeza de Vaca llegó a la isla de Santa Catalina en 1541 y de  allí entró en tierra firme con el objetivo de alcanzar la ciudad de  Asunción del Paraguay. La misma se había convertido en el centro de la  conquista del Río de la Plata. Si bien los conquistadores viejos de la  expedición de Pedro de Mendoza aceptaron sus credenciales cuando entró  en la ciudad en 1542, las políticas que Cabeza de Vaca intentó instalar  en la región rápidamente entraron en conflicto con aquellas que  pretendían sostener sus fundadores y primeros conquistadores. La  situación se deterioró progresivamente hasta que, después de una  fracasada entrada al Gran Chaco, Cabeza de Vaca fue encarcelado y luego  expulsado de la provincia en 1545.Tras regresar a España, el antiguo  adelantado debió responder a los procesos que contra él entablaron los  conquistadores del Río de la Plata y el propio fiscal del rey, que se  extendieron hasta entrada la década de 1550. Si bien Álvar Núñez no  logró recuperar la gobernación del Río de la Plata, tampoco debió  enfretar las penas que originalmente se le habían impuesto (multas y un  temido destierro a Argel). Una clara señal de cierto beneplácito regio  respecto de sus acciones en Indias es la reedición, en 1555, de su  Relación (Zamora, 1542) acompañada de un nuevo libro titulado  Comentarios (valladolid, 1555). Este último constituye la primera obra  historiográfica de largo aliento sobre la conquista del Río de la Plata,  considerando en particular el período de su  gobernación."
Castellanos,
Dorantes de Bejar,"Refiere a Pedro Dorantes, oriundo de Béjar (Salamanca, 1506–Asunción, 1580). Factor real con destino al Río de la Plata, en la expedición de Núñez Cabeza de Vaca, en 1540. En 1543 De Orantes escribió cartas al Rey, pidiendo que mandase un procurador para defender los intereses de los indios. La mala situación entre el adelantado y sus oficiales reales hizo que se conjuraran, bajo órdenes de Ñuflo de Chaves y De Orantes, lo derrocaron en abril de 1544, fue vuelto a España, custodiado por García Venegas y Alonso Cabrera."
Mendoza,"Pedro de Mendoza (1499-1537), fue un noble español nacido de Cádiz. Tuvo  una destacada actividad militar en las campañas militares de Carlos I  en Italia, y con la fortuna que logró en ellas, solicitó la conquista  del Río de la Plata. Por capitulación firmada con en el rey en 1534 se  lo designa gobernador y primer adelantando a la provincia del mismo  bombre. Su armanda, una de las más grandes en términos de hombres y  barcos que cruzaron el océano a América, llegó a las costas del Río de  la Plata en 1536. En la margen izquierda del río, al sur de la actual  ciudad de Buenos Aires, Mendoza ordenó el establecimiento de un puerto  llamado Nuestra Señora del Buen Ayre, pero sus intencionres eran  continuar las exploraciones río arriba, en busca de la Sierra de la  Plata. El asentamiento en Buenos Aires rápidamenta sufrió hambre y  ataques de las sociedades nativas. Al mismo tiempo, Pedro de Mendoza  delegó gran parte de las tareas de exploración de la región en su  teniente gobernador, Juan de Ayolas. Debido a las dificultades que  enfrentaba la población de Buenos Aires y de los dos asentamientos  establecidos Paraná arriba (Buena Esperanza y Corpus Christi) y la  ausencia de noticias del Juan de Ayolas (quien luego se sabría, habría  alcanzado tierras chiriguanas) Pedro de Mendoza decide abandonar su  conquista, delegando el mando general de la armada en Juan de Ayolas y  el gobierno de Buenos Aires en Ruiz Galán. Moriría cruzando el Atlántico  en 1537."
Zárate,"Juan Ortiz de Zárate (Orduña de Vizcaya, Corona de Castilla, ca. 1515 -  Asunción, gobernación del Río de la Plata y del Paraguay, 26 de enero de  1576) era un conquistador y colonizador español que reemplazó al  gobernador Francisco Ortiz de Vergara, con sede en Asunción y que más  tarde, en 1567, fuera nombrado tercer adelantado del Río de la Plata en  forma interina por disposición del virrey del Perú, el licenciado Lope  García de Castro, y confirmado para dos generaciones por el rey Felipe  II de España."
Alvar Nuñez,"Álvar Núñez Cabeza de Vaca (Jerez de la Frontera, 1488/1490 - Sevilla,  27 de mayo de 1559) fue un descubridor y conquistador español que  exploró la costa sur de Norteamérica desde la actual Florida pasando por  Alabama, Misisipi y Luisiana y se adentró en Texas, Nuevo México,  Arizona​ y en el norte de México hasta llegar al Golfo de California,  territorios que pasaron a anexionarse al Imperio Español dentro del  Virreinato de Nueva España. El rey Carlos I de España le otorgó el  título de Segundo Adelantado y lo nombró capitán general y gobernador  del Río de la Plata, Paranáguazu y sus anexos.​ Fue el primer europeo del cual tenemos pruebas documentales respecto de  sus exploraciones en la región de las cataratas del Iguazú. Están  documentadas numerosas referencias sobre entradas que antiguos náufragos  de los barcos de Juan Díaz de Solís (1470-1516) y Rodrigo de Acuña  habrían realizado en la zona, siendo la más famosa la de Alejo o Aleixo  García.Cabeza de Vaca llegó a la isla de Santa Catalina en 1541 y de  allí entró en tierra firme con el objetivo de alcanzar la ciudad de  Asunción del Paraguay. La misma se había convertido en el centro de la  conquista del Río de la Plata. Si bien los conquistadores viejos de la  expedición de Pedro de Mendoza aceptaron sus credenciales cuando entró  en la ciudad en 1542, las políticas que Cabeza de Vaca intentó instalar  en la región rápidamente entraron en conflicto con aquellas que  pretendían sostener sus fundadores y primeros conquistadores. La  situación se deterioró progresivamente hasta que, después de una  fracasada entrada al Gran Chaco, Cabeza de Vaca fue encarcelado y luego  expulsado de la provincia en 1545.Tras regresar a España, el antiguo  adelantado debió responder a los procesos que contra él entablaron los  conquistadores del Río de la Plata y el propio fiscal del rey, que se  extendieron hasta entrada la década de 1550. Si bien Álvar Núñez no  logró recuperar la gobernación del Río de la Plata, tampoco debió  enfretar las penas que originalmente se le habían impuesto (multas y un  temido destierro a Argel). Una clara señal de cierto beneplácito regio  respecto de sus acciones en Indias es la reedición, en 1555, de su  Relación (Zamora, 1542) acompañada de un nuevo libro titulado  Comentarios (valladolid, 1555). Este último constituye la primera obra  historiográfica de largo aliento sobre la conquista del Río de la Plata,  considerando en particular el período de su  gobernación."
Irala,"Domingo Martínez de Irala (Vergara de la Hermandad de Guipúzcoa, Corona  de Castilla, 1509 - Asunción del Paraguay, Virreinato del Perú, 3 de  octubre de 1556) fue un conquistador, explorador y colonizador español  que como lugarteniente de Juan de Ayolas quien lo nombrara interinamente  hasta que regresara como teniente de gobernador de La Candelaria en  1537, luego lo sería de hecho, y posteriormente elegido por el pueblo  según real cédula, como teniente de gobernador general de Asunción.Ocupó  tres veces el cargo de gobernador interino del Río de la Plata y del  Paraguay, en los períodos de 1539 a 1542, de 1544 hasta 1548 y por  último desde 1549. El emperador Carlos V lo nombraría definitivamente  como titular en el cargo gubernamental en el año 1555, que lo ostentaría  hasta su fallecimiento.En 1543 fundó en el Chaco Boreal el Puerto de  los Reyes, a orillas del río Paraguay y del pantano de los Jarayes,  sobre las costas de la laguna La Gaiba.Irala era un capitán que exploró junto a Juan de  Ayolas el Río Paraguay. Ayolas lo designó, cuando se internó en el Chaco  en 1537, capitán de los bergantines en el Puerto de la Candelaria. Su  papel en estas exploraciones y este (precario) nombramiento de Ayolas  serían las bases que lo elevarían a teniente de gobernador con el aval  del veedor Alonso Cabrera en 1539."
Alvar Nuñez,
Mojo,"Los conquistadores españoles buscaron en America del Sur, uno de los menos conocidos pero más largamente y con mayor avidez perseguido fue el del gran Moxo o Gran Paitití, Mojo (o Moxo)"".* Decálogo de la geohistoria guayaramirense: una propuesta de identidad...Por Juan Carlos Crespo Avaroma."
Lebron,"Fray Alonso Lebrón, natural de Canarias, de la orden franciscana. Llega a América en la expedición de Alonso Cabrera en 1538 con fray Bernardo de Armenta, a quien acompañó en todas sus misiones en el Río de la Plata. Su fidelidad a Armenta le valió la enemistad con Alvar Núñez Cabeza de Vaca."
Armenta,"Bernardo de Armenta (o Armentia). Córdoba, f. s. xv – Santa Catalina (Brasil), 1546. Misionero franciscano, fundador de la Custodia franciscana del Río de la Plata. Arribó a las costas brasileñas en la expedición de Alonso de Cabrera en 1538. Después de permanecer unos años con los Guaraníes de Santa Catalina, en 1541 Alvar Núñez Cabeza de Vaca le exige acompañarlo en su expedición a Paraguay. En el trayecto, Armenta se enemista con Cabeza de Vaca y llegado a Asunción toma partido por Domingo de Irala. Armenta da su versión del conflicto en una carta dirigida al Rey en 1544."
Gobernador,
Juan Oñate,
Rasquin,"Refiere a Jaime Resquin, valenciano, procurador de la provincia Viajó al Río de la Plata, con la expedición de Núñez Cabeza de Vaca. En 1557, la Corona española hace una Capitulación de población y asentamiento, determina que se funden cuatro ciudades, puerto de São Francisco y el puerto de Patos, y que dejen de pertenecer a la gobernación del Paraguay y se integren en la nueva gobernación de Resquin, la del Río de la Plata, pero por ofrecimientos ventajosos, el título de Adelantado lo tomó Juan de Sanabria."
Hércules,"Hércules o Heracles, siendo una metátesis del nombre griego. Era hijo de Júpiter, el equivalente romano del dios griego Zeus, y la mortal Alcmena. Llevó a cabo doce grandes trabajos, llamados Los doce trabajos de Heracles y fue divinizado."
Cáceres,"Refiere a Felipe de Cáceres. España, 1515-Virreinato español, 1595. Conquistador, explorador y colonizador español, se desempeñó como gobernador interino del Río de la Plata y del Paraguay, con sede en Asunción, entre 1568 y 1572. Cumplió funciones como contador y tesorero en la armada de Pedro de Mendoza. Fue uno de los líderes de la facción contraria a Cabeza de Vaca, estuvo implicado en todas las maniobras que condujeron a su destitución, prisión y destierro."",,,Juan de Cáceres,,conquistador,iralista,administrativo,contador,""Juan de Cáceres cumplió funciones como contador y tesorero en la armada de Pedro de Mendoza y luego, en la conquista del Río de la Plata. Uno de los líderes de la facción contraria Cabeza de Vaca, estuvo implicado en todas las maniobras que condujeron a su destitución, prisión y destierro."
Venegas,"Refiere a Garci Venegas de Hoces (España, 1514 - 1547). Llegó a Río de la Plata junto a Pedro de Mendoza. Fue tesorero real y capitán de Buena Esperanza. Prestó servicios en Asunción por órdenes de Domingo de Irala, bajo el cargo de Regidor de su Cabildo. Fue opositor a Álvar Núñez Cabeza de Vaca, quien lo encarceló por ejercer de tesorero sin nombramiento real en 1543. Se casó con una indígena guaraní, hija del cacique Moquirasé. Llevó a España al citado funcionario y poco tiempo después falleció en la metrópoli."
Cabrera,"El veedor Cabrera fue una figura importantísima del período 1538-1545 en el Río de la Plata. Había sido enviado a la región por el rey para reorganizar la conquista tras el abandono de Pedro de Mendoza y su primera obligación era determinar quién había sido designado por el adelantado como sucesor. Después de varias desavenencias con Ruiz Galán, se inclinó por nombrar como teniente de gobernador a Domingo de Irala, esperando que Juan de Ayolas (la persona designada por Pedro de Mendoza) regresase de sus exploraciones para ponerse al mando de la conquista. Esta sociedad con Irala será fundamental para realizar la despoblación de Buenos Aires en 1541 y, luego, enfrentar a Álvar Núñez Cabeza de Vaca. Cabrera fue fundamental en la construcción de los argumentos judiciales que justificarían su derrocamiento y viajó a España junto a él para representar a los primeros conquistadores del Río de la Plata en los tribunales regios. Moriría poco después de haber llegado a España."
Vergara,"Francisco Ortiz de Vergara fue un conquistador y colonizador español. Sucedió a Gonzalo de Mendoza en el gobierno del Río de la Plata con sede en Asunción. Hijo de Francisco de Vergara y Beatriz de Roelas. Fue nombrado por los conquistadores y confirmado por el obispo Pedro de Latorre en 1558. Fue depuesto por la Real Audiencia de Charcas en 1564 y regresó a España en 1565. Hermano de Ruy Díaz de Melgarejo En 1559 enfrento la rebelión de dos manzebos, Pablo y Don Narazio, hijos de un Principal local llamado a Curupiratí de la tribu xaraje junto a Nufrio de Chaves, el 3 de mayo de 1560 en los campos de Acahai o del Acaraiba Ortiz les vence, el ejército rebelde dividido en cuatro cuerpos o columnas sumaba 16.000 guerreros guaraníes, la victoria se logró gracias a la llegada oportuna de indios amigos, se mataron más de 1.000 rebeldes. Durante su gobierno hubo numerosos intentos fallidos de crear nuevos asentamientos (Sancti Spiritus, San Francisco y Santa Cruz de la Sierra). Este último, en el sur de la Cuenca del Amazonas, fue un éxito, pero sólo después de que la ciudad se había movido más de 200 kilómetros desde el lugar elegido por Ñuflo de Chaves. El contrato de arrendamiento anterior fue cerca de San José de Chiquitos, y es hoy un sitio arqueológico conocido como Santa Cruz la Vieja. Lo sucedió el adelantado Juan Ortiz de Zárate."
Ruy Diaz Melgarejo,"Ruy Díaz de Melgarejo (Salteras de Sevilla, 1519 – Santa Fe la Vieja, 1602) fue un militar, conquistador, explorador, estadista, minero y burócrata colonial español establecido en la región del Río de la Plata. Su vida estuvo marcada por guerras, conspiraciones, persecuciones y conflictos familiares.  Junto a Juan de Salazar, Alonso Riquelme de Guzmán y Diego de Abreu se opuso al gobierno asunceno de Domingo Martínez de Irala, apoyando al deportado Álvar Núñez Cabeza de Vaca.  Gobernó de manera casi absoluta e independiente la antigua provincia asuncena del Guayrá, fácticamente durante 20 años, y luego de separarla de Asunción en 1575, con el título de teniente de gobernador del Guayrá unos 15 años más."
Ruy Diaz,"Ruy Díaz de Melgarejo (Salteras de Sevilla, 1519 – Santa Fe la Vieja, 1602) fue un militar, conquistador, explorador, estadista, minero y burócrata colonial español establecido en la región del Río de la Plata. Su vida estuvo marcada por guerras, conspiraciones, persecuciones y conflictos familiares.  Junto a Juan de Salazar, Alonso Riquelme de Guzmán y Diego de Abreu se opuso al gobierno asunceno de Domingo Martínez de Irala, apoyando al deportado Álvar Núñez Cabeza de Vaca.  Gobernó de manera casi absoluta e independiente la antigua provincia asuncena del Guayrá, fácticamente durante 20 años, y luego de separarla de Asunción en 1575, con el título de teniente de gobernador del Guayrá unos 15 años más."
Abrego,"Refiere a Diego de Abreu (m. 1549). Expedicionario que entró al Río de la Plata con Pedro de Mendoza. Durante los conflictos entre las facciones de Cabeza de Vaca y Domingo de Irala tomó partida por la del gobernador, al punto que en 1547, fue nombrado él mismo gobernador interino por los vecinos leales al segundo adelantado aprovechando la partida de Domingo de Irala de la ciudad de Asunción. Finalmente este se impondría y Abreu fue ajusticiado en 1549."
D. Francisco de Mendoza,"Don Francisco de Mendoza (n. 1515-1547), capitán de la caballería. Sus  actuaciones incluyen haber mediado entre Domingo de Irala y Ruiz Galán  en 1537 y 1539, participado en la represión del levantamiento de cacique  guarambarense Aracaré y ser parte de la facción de Domingo de Irala  contra la de Cabeza de Vaca en 1545. De hecho, sirvió como teniente de  gobernador bajo su administración cuando Irala condujo una entrada al  Chaco en 1547. En esta circunstancia, los partidarios de Cabeza de Vaca  recusaron su nombramiento y tras haber instaurado a Diego de Abreu como  gobernador, ejecutaron a Mendoza."
Lazcano,
Gran Carlos,"Carlos I de España y V del Sacro Imperio Romano Germánico, llamado ""el  César""​ (1500-1558), reinó junto con su madre, Juana I de Castilla —esta  última de forma solo nominal y hasta 1555—, en todos los reinos y  territorios hispánicos con el nombre de Carlos I desde 1516​ hasta 1556,  reuniendo así por primera vez en una misma persona las Coronas de  Castilla —el Reino de Navarra inclusive— y Aragón. Fue emperador del  Sacro Imperio Romano Germánico como Carlos V de 1520 a 1558."
D. Francisco,"Don Francisco de Mendoza (n. 1515-1547), capitán de la caballería. Sus  actuaciones incluyen haber mediado entre Domingo de Irala y Ruiz Galán  en 1537 y 1539, participado en la represión del levantamiento de cacique  guarambarense Aracaré y ser parte de la facción de Domingo de Irala  contra la de Cabeza de Vaca en 1545. De hecho, sirvió como teniente de  gobernador bajo su administración cuando Irala condujo una entrada al  Chaco en 1547. En esta circunstancia, los partidarios de Cabeza de Vaca  recusaron su nombramiento y tras haber instaurado a Diego de Abreu como  gobernador, ejecutaron a Mendoza."
D. Diego,"Diego de Abreu (m. 1549). Expedicionario que entró al Río de la Plata  con Pedro de Mendoza. Durante los conflictos entre las facciones de  Cabeza de Vaca y Domingo de Irala tomó partida por la del gobernador, al  punto que en 1547, fue nombrado él mismo gobernador interino por los  vecinos leales al segundo adelantado aprovechando la partida de Domingo  de Irala de la ciudad de Asunción. Finalmente este se impondría y Abreu  fue ajusticiado en 1549."
Nuño de Chaves,"Ñuflo de Chaves nació en Santa Cruz de la Sierra, de Extremadura, en 1518. Llegó a territorio americano con el segundo adelantado del Río de la Plata,Don Alvar Núñez Cabeza de Vaca”. Cuando la flota llega al puerto de SantaCatalina en el año 1541, ya ostentaba el grado de Capitán. Cuando el gobernador Martínez de Irala le encomienda fundar al norte deAsunción, Chaves se convierte así en General. El 26 de febrero de 1561 fundó Santa Cruz de la Sierra a orillas delarroyo Sutó. Después de fundada Santa Cruz de la Sierra, Ñuflo de Chaves se dirige aAsunción, en 1564, para recoger a su familia. En 1550 se había casado con Doña Elvira Manrique, hija de don Francisco deMendoza, gobernador del Río de la Plata, con quien tuvo cinco hijos: Francisco y Alvaro, ambos militares; María, Catalinay Elvira; las dos menores monjas y la mayor se casó en 1574 con un soldadode apellido Ossorio. El nieto de Ñuflo, Cap. Francisco Ossorio de Chaves,estuvo como Alcalde durante la traslación de la ciudad, hasta su asientodefinitivo a orillas del Piraí (1621)."
Escaso,
